Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,-0.5510595194824087,1,0,-0.5275147920390659,2
1,1,0,0.6119446643175359,1,0,0.6950862020362649,0
1,3,0,-0.26030847353242254,0,0,-0.5146268779224914,2
1,1,0,0.3938813798550463,1,0,0.34790870758306697,2
0,3,1,0.3938813798550463,0,0,-0.5122402271601628,2
0,3,1,-0.11493295055742946,0,0,-0.5044444711100926,1
0,1,1,1.7749488481174804,0,0,0.3242808650360137,2
0,3,1,-2.0048147492323394,3,1,-0.26355121772552204,2
1,3,0,-0.18762071204492597,0,2,-0.45337014479626053,2
1,2,0,-1.1325616113823809,1,0,-0.09179255430347663,0
1,3,0,-1.8594392262573463,1,1,-0.34708399440702326,2
1,1,0,2.0656998940674667,0,0,-0.15901591433552906,2
0,3,1,-0.6964350424574017,0,0,-0.5122402271601628,2
0,3,1,0.6846324258050325,1,5,-0.06880051551950776,2
0,3,0,-1.1325616113823809,0,0,-0.5159786769142743,2
1,2,0,1.847636609604977,0,0,-0.36044923867606343,2
0,3,1,-2.0048147492323394,4,1,-0.10985090863155976,1
1,2,1,-0.11493295055742946,0,0,-0.41772885697195,2
0,3,0,0.10313033390506016,1,0,-0.3222628264788057,2
1,3,0,-0.11493295055742946,0,0,-0.5279921221915316,0
0,2,1,0.3938813798550463,0,0,-0.16951717768977492,2
1,2,1,0.3211936183675498,0,0,-0.41772885697195,2
1,3,0,-1.0598738498948845,0,0,-0.5126373658470144,1
1,1,1,-0.11493295055742946,0,0,0.011868280247199164,2
0,3,0,-1.5686881803073602,3,1,-0.26355121772552204,2
1,3,0,0.6119446643175359,1,5,-0.06665252983341201,2
0,3,1,-0.11493295055742946,0,0,-0.5279921221915316,0
0,1,1,-0.7691228039448983,3,2,4.355572667685263,2
1,3,0,-0.11493295055742946,0,0,-0.5155013467618086,1
0,3,1,-0.11493295055742946,0,0,-0.5151843995405714,2
0,1,1,0.757320187292529,0,0,-0.13666158863525438,0
1,1,0,-0.11493295055742946,1,0,2.131611295881853,0
1,3,0,-0.11493295055742946,0,0,-0.5179681889897515,1
0,2,1,2.647201985967439,0,0,-0.46546187221852214,2
0,1,1,-0.11493295055742946,1,0,0.9029634834350866,0
0,1,1,0.902695710267522,1,0,0.32690618087457524,2
1,3,1,-0.11493295055742946,0,0,-0.5279119307259174,0
0,3,1,-0.6237472809699052,0,0,-0.5122402271601628,2
0,3,0,-0.8418105654323949,2,0,-0.3222628264788057,2
1,3,0,-1.1325616113823809,1,0,-0.4513004412551691,0
0,3,0,0.757320187292529,1,0,-0.48503240846961665,2
0,2,0,-0.18762071204492597,1,0,-0.2649832081829192,2
0,3,1,-0.11493295055742946,0,0,-0.5151843995405714,0
1,2,0,-1.9321269877448428,1,2,0.1279396987619837,0
1,3,0,-0.7691228039448983,0,0,-0.5155013467618086,1
0,3,1,-0.11493295055742946,0,0,-0.5122402271601628,2
0,3,1,-0.11493295055742946,1,0,-0.36999584172537786,1
0,3,1,-0.11493295055742946,2,0,-0.25201510260073046,0
0,3,0,-0.8418105654323949,1,0,-0.3260814676985315,2
0,3,1,-1.6413759417948568,4,1,0.09182108078520748,2
0,3,1,-0.6237472809699052,0,0,-0.51701352868482,2
1,1,0,1.4115100406799979,1,0,0.799065893128788,0
1,2,0,-0.042245189069932916,1,0,-0.16951717768977492,2
0,1,1,2.574514224479943,0,1,0.5174411031740123,0
1,2,0,-0.6237472809699052,0,0,-0.46546187221852214,2
0,3,1,-0.07858906981368119,0,0,-0.5279119307259174,0
1,2,0,-1.7867514647698497,1,2,-0.13610406701717442,2
0,3,1,-1.3506248958448706,5,2,0.22953082977156805,2
0,3,1,-0.5510595194824087,0,0,-0.5279119307259174,0
1,1,0,0.6119446643175359,0,0,0.8615159516361831,2
0,1,1,1.1207589947300116,1,0,0.9278648428289182,2
0,3,1,-1.8594392262573463,3,2,-0.13324008610238014,2
0,1,1,-0.11493295055742946,0,0,-0.13666158863525438,0
1,3,1,-0.11493295055742946,1,1,-0.37484933471564935,0
1,2,0,-0.042245189069932916,0,0,-0.46546187221852214,2
0,3,1,-0.7691228039448983,0,0,-0.5101724329396813,2
1,3,0,-0.9144983269198913,4,2,-0.5146268779224914,2
0,3,1,-0.26030847353242254,2,0,-0.5005456384247526,2
0,2,1,0.1758180953925567,0,0,-0.46546187221852214,2
0,3,0,-0.9871860884073879,5,2,0.22953082977156805,2
0,2,1,-0.6237472809699052,0,0,0.7374101119950955,2
0,3,1,-0.26030847353242254,1,0,-0.3899635166633239,0
1,3,1,0.1758180953925567,0,0,0.41274541685279087,2
0,3,1,-0.33299623501991904,0,0,-0.5198775095996144,2
1,2,1,-2.0898594301727105,0,2,-0.11223755939388837,2
1,3,0,0.03044257241756362,0,0,-0.42775279017373014,2
0,3,1,-0.5510595194824087,0,0,-0.49410168136646543,2
1,3,1,-0.042245189069932916,0,0,-0.484555078317151,2
1,3,0,-0.11493295055742946,0,0,-0.5172521937610529,1
0,1,1,-0.11493295055742946,0,0,0.23334947099129388,2
1,2,0,-0.9144983269198913,0,0,-0.46546187221852214,2
1,3,0,0.24850585688005322,3,0,-0.36331321959085777,2
0,3,1,-0.9871860884073879,1,3,-0.009611576613758294,2
1,1,0,-0.47837175799491216,3,2,4.355572667685263,2
0,3,1,-0.4056839965074156,0,0,-0.5122402271601628,2
0,3,1,-0.042245189069932916,0,0,-0.5122402271601628,2
0,3,1,-0.6964350424574017,0,0,-0.5159786769142743,2
0,1,1,1.1934467562175082,1,0,0.5020863468294949,2
